Date,Region,Place,Trigger,Depth(m),Width (m),Vertical (m),Aspect,Elevation (m),Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,Longitude
3/15/13,Logan,Beaver Mountain Backside,Unknown,0.6096,12.18939394,60.9469697,East,2498.825758,0,0,Ground Interface,0,0,0,0,Unknown,Unknown
3/15/13,Provo,Lama Peak area,Natural,unknown,12.18939394,152.3674242,Southeast,2803.560606,0,0,Wet grains,0,0,0,0,40.238855,-111.537686
3/15/13,Uintas,Upper Weber Canyon,Skier,0.6096,182.8409091,Unknown,Southeast,3016.875,0,0,Depth Hoar,0,0,0,0,40.82732,-110.996075
3/15/13,Uintas,Duchesne Ridge,Natural,0.9144,24.37878788,60.9469697,Northeast,2986.401515,0,0,Depth Hoar,0,0,0,0,40.46763,-111.107998
3/15/13,Provo,Dry Fork,Skier,unknown,9.142045455,Unknown,Southeast,3199.715909,0,0,Unknown,0,0,0,0,Unknown,Unknown
3/15/13,Salt Lake,Superior,Natural,unknown,Unknown,304.7348485,South,3321.609848,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/15/13,Provo,Provo,Natural,unknown,Unknown,Unknown,East,2894.981061,0,0,Facets,0,0,0,0,40.370717,-111.614571
3/15/13,Salt Lake,West Monitor,Natural,0.9144,53.32859848,213.3143939,East,3016.875,0,0,Wet grains,0,0,0,0,40.64053,-111.576891
3/14/13,Logan,Green Canyon,Natural,unknown,15.23674242,Unknown,North,1767.462121,0,0,Wet grains,0,0,0,0,41.770127,-111.744971
3/14/13,Logan,Beaver Canyon,Natural,0.6096,30.47348485,243.7878788,West,2315.984848,0,0,Unknown,0,0,0,0,41.897166,-111.550541
3/13/13,Ogden,Spring Creek,Unknown,unknown,Unknown,457.1022727,Southwest,2620.719697,0,0,Wet grains,0,0,0,0,41.16786,-111.875732
3/13/13,Provo,Slide Canyon,Skier,0.1524,12.18939394,533.2859848,Southeast,3199.715909,0,0,Wet grains,0,0,0,0,40.368978,-111.618347
3/13/13,Logan,East Banks,Natural,0.4572,60.9469697,213.3143939,West,2315.984848,0,0,Ground Interface,0,0,0,0,41.896911,-111.549768
3/12/13,Logan,Lower Providence Canyon,Snowmobiler,0.3048,6.09469697,38.09185606,West,1980.776515,0,0,Facets,0,0,0,0,41.688745,-111.74233
3/11/13,Salt Lake,The Fang,Skier,0.1524,6.09469697,76.18371212,North,3047.348485,0,0,New Snow/Old Snow Interface,0,0,0,0,40.599877,-111.634827
3/10/13,Salt Lake,West Willow,Unknown,0.381,30.47348485,45.71022727,East,2894.981061,0,0,New Snow/Old Snow Interface,0,0,0,0,40.64561,-111.597962
3/10/13,Salt Lake,Wolverine Peak,Skier,unknown,Unknown,Unknown,Northeast,3199.715909,0,1,Density Change,1,1,0,0,Unknown,Unknown
3/10/13,Moab,Mt. Tomasaki,Natural,0.9144,30.47348485,243.7878788,Southwest,3595.871212,0,0,New Snow,0,0,0,0,38.501631,-109.209251
3/10/13,Salt Lake,Dry Fork of AF,Unknown,0.3048,15.23674242,15.23674242,South,3047.348485,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/10/13,Salt Lake,Superior,Skier,0.1016,24.37878788,274.2613636,South,3260.662879,0,0,Density Change,0,0,0,0,40.59033,-111.670232
3/10/13,Salt Lake,Days Fork,Skier,0.1524,3.047348485,106.657197,East,3077.82197,0,0,New Snow,0,0,0,0,40.598313,-111.633453
3/10/13,Salt Lake,Diving Board,,unknown,Unknown,Unknown,,Unknown,0,0,Unknown,0,0,0,0,Unknown,Unknown
3/9/13,Salt Lake,Python Chutes,Skier,unknown,Unknown,Unknown,Northwest,2803.560606,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/9/13,Salt Lake,Shale Shot,Skier,0.4572,9.142045455,45.71022727,North,2712.140152,0,0,New Snow/Old Snow Interface,0,0,0,0,40.681549,-111.596503
3/9/13,Salt Lake,Alexander Basin,Snowboarder,0.762,10.6657197,Unknown,Northeast,3077.82197,0,0,Facets,0,0,0,0,40.670841,-111.682506
3/9/13,Salt Lake,Little Pine,Skier,0.127,12.18939394,121.8939394,South,2986.401515,0,0,Density Change,0,0,0,0,40.585278,-111.686497
3/8/13,Uintas,Boundry Creek,Skier,0.9144,121.8939394,182.8409091,West,2894.981061,0,0,Density Change,0,0,0,0,Unknown,Unknown
3/8/13,Provo,Provo Canyon,Unknown,unknown,Unknown,Unknown,North,1706.515152,0,0,Unknown,0,0,0,0,40.353674,-111.578436
3/8/13,Uintas,Boundary Creek,,0.6096,Unknown,Unknown,West,3047.348485,0,0,Facets,0,0,0,0,40.83823,-110.77652
3/6/13,Ogden,Ogden Mountains,Skier,unknown,Unknown,Unknown,North,2559.772727,0,0,Facets,0,0,0,0,Unknown,Unknown
3/5/13,Salt Lake,Little Superior,Skier,unknown,4.571022727,304.7348485,Southeast,3291.136364,0,0,New Snow/Old Snow Interface,0,0,0,0,40.591992,-111.667442
3/5/13,Salt Lake,Superior,Skier,0.254,30.47348485,152.3674242,North,3291.136364,0,0,New Snow/Old Snow Interface,0,0,0,0,40.592187,-111.671047
3/5/13,Salt Lake,Superior,Skier,0.0762,6.09469697,274.2613636,South,3413.030303,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/4/13,Salt Lake,Cardiac Ridge,Skier,0.254,18.28409091,152.3674242,East,3291.136364,0,0,New Snow/Old Snow Interface,0,0,0,0,Unknown,Unknown
3/4/13,Provo,Roberts Horn,Natural,0.3048,30.47348485,457.1022727,Southeast,3077.82197,0,0,Density Change,0,0,0,0,40.40781,-111.634054
3/4/13,Salt Lake,Canyons side country,Unknown,0.2032,12.18939394,76.18371212,East,3047.348485,0,0,Unknown,0,0,0,0,40.651992,-111.592941
3/4/13,Salt Lake,Summit Park,Skier,0.762,53.32859848,106.657197,Northwest,2224.564394,0,0,Facets,0,0,0,0,40.74329,-111.630106
3/4/13,Salt Lake,Days Fork,Skier,0.2032,15.23674242,182.8409091,North,3108.295455,0,0,New Snow/Old Snow Interface,0,0,0,0,40.60092,-111.634655
3/4/13,Salt Lake,Reynolds Pk,Snowboarder,0.1524,15.23674242,21.33143939,East,2803.560606,0,0,New Snow,0,0,0,0,Unknown,Unknown
3/4/13,Salt Lake,Superior,Skier,0.4064,45.71022727,152.3674242,Southeast,2955.92803,0,0,New Snow,0,0,0,0,Unknown,Unknown
3/3/13,Logan,Lower Providence Canyon,Natural,0.4064,38.09185606,304.7348485,North,2224.564394,0,0,Ground Interface,0,0,0,0,41.688713,-111.753402
3/3/13,Salt Lake,Cardiff Fork,Skier,0.2032,6.09469697,53.32859848,Northwest,2986.401515,0,0,Density Change,0,1,0,0,40.364309,-111.624334
3/3/13,Provo,Rock Canyon,Unknown,unknown,30.47348485,Unknown,North,1980.776515,0,0,Facets,0,0,0,0,40.365355,-111.62648
3/3/13,Logan,Logan Canyon,Natural,unknown,Unknown,Unknown,,1980.776515,0,0,Ground Interface,0,0,0,0,40.36954,-111.568415
3/3/13,Provo,Lost Creek,Natural,0.6096,45.71022727,457.1022727,Southeast,3047.348485,0,0,New Snow/Old Snow Interface,0,0,0,0,40.659448,-111.71083
3/3/13,Provo,Lost Creek,Natural,0.254,9.142045455,457.1022727,Southeast,3169.242424,0,0,Unknown,0,0,0,0,40.47777,-111.509171
3/3/13,Provo,North Fork Provo R.,Natural,0.254,7.618371212,152.3674242,Northeast,1828.409091,0,0,Facets,0,0,0,0,40.379276,-111.630321
3/2/13,Salt Lake,Main Porter,Snowboarder,0.6096,9.142045455,91.42045455,Northeast,2864.507576,0,0,Facets,0,0,0,0,39.0436,-111.519
3/2/13,Provo,Snowslide Jr,Natural,0.2032,9.142045455,243.7878788,Northwest,1828.409091,0,0,Facets,0,0,0,0,40.596057,-111.66667
3/2/13,Provo,North Fork Provo R.,Natural,0.2032,15.23674242,380.9185606,Southeast,3077.82197,0,0,Wet grains,0,0,0,0,40.680833,-111.597576
3/1/13,Skyline,12 Mile Canyon,Snowmobiler,0.6096,106.657197,76.18371212,Northeast,3169.242424,1,0,Facets,1,1,0,1,Unknown,Unknown
2/28/13,Salt Lake,Wyatt Couloir,Natural,0.4064,30.47348485,121.8939394,Northeast,3230.189394,0,0,Facets,,0,0,0,40.596057,-111.66667
2/26/13,Salt Lake,Canyons side country,Skier,0.3048,12.18939394,30.47348485,North,2712.140152,0,0,Facets,0,1,0,0,40.680833,-111.597576
2/25/13,Provo,Silver Creek,Skier,0.2032,15.23674242,60.9469697,Southwest,3352.083333,0,0,Unknown,0,0,0,0,Unknown,Unknown
2/25/13,Salt Lake,Hellgate,Skier,0.3048,15.23674242,45.71022727,Southeast,3047.348485,0,0,New Snow/Old Snow Interface,1,1,0,0,40.593539,-111.651821
